,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,renovated,has_basement,lake_zips,price/sqft,bed_to_bath_ratio
17,2014-12-05,189000.0,2,1.0,1200,9850,1.0,0.0,4,7,1200,0.0,1921,0.0,98002,47.3089,-122.21,1060,5095,0.0,0.0,0.0,157.5,2.0
18,2015-04-24,230000.0,3,1.0,1250,9774,1.0,0.0,4,7,1250,0.0,1969,0.0,98003,47.3343,-122.306,1280,8850,0.0,0.0,0.0,184.0,3.0
19,2014-05-14,385000.0,4,1.75,1620,4980,1.0,0.0,4,7,860,760.0,1947,0.0,98133,47.7025,-122.341,1400,4980,0.0,1.0,0.0,237.65432098765433,2.2857142857142856
20,2014-07-03,285000.0,5,2.5,2270,6300,2.0,0.0,3,8,2270,0.0,1995,0.0,98092,47.3266,-122.169,2240,7005,0.0,0.0,0.0,125.55066079295155,2.0
21,2014-05-16,252700.0,2,1.5,1070,9643,1.0,0.0,3,7,1070,0.0,1985,0.0,98030,47.3533,-122.166,1220,8386,0.0,0.0,0.0,236.16822429906543,1.3333333333333333
22,2014-11-20,329000.0,3,2.25,2450,6500,2.0,0.0,4,8,2450,0.0,1985,0.0,98030,47.3739,-122.172,2200,6865,0.0,0.0,0.0,134.28571428571428,1.3333333333333333
23,2014-11-03,233000.0,3,2.0,1710,4697,1.5,0.0,5,6,1710,0.0,1941,0.0,98002,47.3048,-122.218,1030,4705,0.0,0.0,0.0,136.25730994152048,1.5
24,2014-06-26,937000.0,3,1.75,2450,2691,2.0,0.0,3,8,1750,700.0,1915,0.0,98119,47.6386,-122.36,1760,3573,0.0,1.0,0.0,382.44897959183675,1.7142857142857142
25,2014-12-01,667000.0,3,1.0,1400,1581,1.5,0.0,5,8,1400,0.0,1909,0.0,98112,47.6221,-122.314,1860,3861,0.0,0.0,0.0,476.42857142857144,3.0
26,2014-06-24,438000.0,3,1.75,1520,6380,1.0,0.0,3,7,790,730.0,1948,0.0,98115,47.695,-122.304,1520,6235,0.0,1.0,0.0,288.1578947368421,1.7142857142857142
27,2015-03-02,719000.0,4,2.5,2570,7173,2.0,0.0,3,8,2570,0.0,2005,0.0,98052,47.7073,-122.11,2630,6026,0.0,0.0,0.0,279.76653696498056,1.6
28,2014-11-10,580500.0,3,2.5,2320,3980,2.0,0.0,3,8,2320,0.0,2003,0.0,98027,47.5391,-122.07,2580,3980,0.0,0.0,0.0,250.2155172413793,1.2
29,2014-12-01,280000.0,2,1.5,1190,1265,3.0,0.0,3,7,1190,0.0,2005,0.0,98133,47.7274,-122.357,1390,1756,0.0,0.0,0.0,235.2941176470588,1.3333333333333333
30,2014-06-24,687500.0,4,1.75,2330,5000,1.5,0.0,4,7,1510,820.0,1929,0.0,98117,47.6823,-122.368,1460,5000,0.0,1.0,0.0,295.06437768240346,2.2857142857142856
31,2014-11-10,535000.0,3,1.0,1090,3000,1.5,0.0,4,8,1090,0.0,1929,0.0,98117,47.6889,-122.375,1570,5080,0.0,0.0,0.0,490.8256880733945,3.0
32,2014-12-03,322500.0,4,2.75,2060,6659,1.0,0.0,3,7,1280,780.0,1981,0.0,98058,47.4276,-122.157,2020,8720,0.0,1.0,0.0,156.55339805825244,1.4545454545454546
33,2014-06-13,696000.0,3,2.5,2300,3060,1.5,0.0,3,8,1510,790.0,1930,2002.0,98115,47.6827,-122.31,1590,3264,1.0,1.0,0.0,302.60869565217394,1.2
34,2014-12-30,640000.0,4,2.0,2360,6000,2.0,0.0,4,8,2360,0.0,1904,0.0,98107,47.6702,-122.362,1730,4700,0.0,0.0,0.0,271.1864406779661,2.0
35,2015-02-13,240000.0,4,1.0,1220,8075,1.0,0.0,2,7,890,330.0,1969,0.0,98001,47.3341,-122.282,1290,7800,0.0,1.0,0.0,196.72131147540983,4.0
36,2014-06-20,605000.0,4,2.5,2620,7553,2.0,0.0,3,8,2620,0.0,1996,0.0,98056,47.5301,-122.18,2620,11884,0.0,0.0,0.0,230.91603053435114,1.6
37,2014-07-15,625000.0,4,2.5,2570,5520,2.0,0.0,3,9,2570,0.0,2000,0.0,98074,47.6145,-122.027,2470,5669,0.0,0.0,0.0,243.19066147859922,1.6
38,2014-07-07,861990.0,5,2.75,3595,5639,2.0,0.0,3,9,3595,0.0,2014,0.0,98053,47.6848,-122.016,3625,5639,0.0,0.0,0.0,239.77468706536857,1.8181818181818181
39,2014-10-28,685000.0,3,1.0,1570,2280,2.0,0.0,3,7,1570,0.0,1922,0.0,98119,47.6413,-122.364,1580,2640,0.0,0.0,0.0,436.30573248407643,3.0
40,2014-07-29,309000.0,3,1.0,1280,9656,1.0,0.0,4,6,920,360.0,1959,0.0,98058,47.4485,-122.175,1340,8808,0.0,1.0,0.0,241.40625,3.0
41,2014-07-18,488000.0,3,2.5,3160,13603,2.0,0.0,3,8,3160,0.0,2003,0.0,98019,47.7443,-121.977,3050,9232,0.0,0.0,0.0,154.43037974683546,1.2
42,2015-03-25,210490.0,3,1.0,990,8528,1.0,0.0,3,6,990,0.0,1966,0.0,98023,47.3066,-122.371,1228,8840,0.0,0.0,0.0,212.6161616161616,3.0
43,2014-07-16,785000.0,4,2.5,2290,13416,2.0,0.0,4,9,2290,0.0,1981,0.0,98007,47.6194,-122.151,2680,13685,0.0,0.0,0.0,342.7947598253275,1.6
44,2015-04-28,450000.0,3,1.75,1250,5963,1.0,0.0,4,7,1250,0.0,1953,0.0,98115,47.6796,-122.301,970,5100,0.0,0.0,0.0,360.0,1.7142857142857142
45,2014-09-16,228000.0,3,1.0,1190,9199,1.0,0.0,3,7,1190,0.0,1955,0.0,98148,47.4258,-122.322,1190,9364,0.0,0.0,0.0,191.5966386554622,3.0
46,2015-02-17,345000.0,5,2.5,3150,9134,1.0,0.0,4,8,1640,1510.0,1966,0.0,98056,47.4934,-122.189,1990,9133,0.0,1.0,0.0,109.52380952380952,2.0
47,2014-12-31,600000.0,3,1.75,1410,4080,1.0,0.0,4,7,1000,410.0,1950,0.0,98117,47.6808,-122.384,1410,4080,0.0,1.0,0.0,425.531914893617,1.7142857142857142
48,2015-02-05,585000.0,2,1.75,1980,8550,1.0,0.0,3,7,990,990.0,1981,0.0,98117,47.6989,-122.369,1480,6738,0.0,1.0,0.0,295.45454545454544,1.1428571428571428
49,2015-03-03,920000.0,5,2.25,2730,6000,1.5,0.0,3,8,2130,600.0,1927,0.0,98105,47.6571,-122.281,2730,6000,0.0,1.0,0.0,336.996336996337,2.2222222222222223
50,2014-05-12,885000.0,4,2.5,2830,5000,2.0,0.0,3,9,2830,0.0,1995,0.0,98105,47.6597,-122.29,1950,5000,0.0,0.0,0.0,312.7208480565371,1.6
51,2014-08-19,292500.0,4,2.5,2250,4495,2.0,0.0,3,7,2250,0.0,2008,0.0,98042,47.3663,-122.114,2250,4500,0.0,0.0,0.0,130.0,1.6
52,2015-04-07,301000.0,3,2.5,2420,4750,2.0,0.0,3,8,2420,0.0,2003,0.0,98042,47.3663,-122.122,2690,4750,0.0,0.0,0.0,124.3801652892562,1.2
53,2014-08-27,951000.0,5,3.25,3250,14342,2.0,0.0,4,8,3250,0.0,1968,0.0,98008,47.588,-122.116,2960,11044,0.0,0.0,0.0,292.61538461538464,1.5384615384615385
54,2015-02-23,430000.0,4,3.0,1850,9976,2.0,0.0,3,8,1850,0.0,1991,0.0,98059,47.5059,-122.149,2270,8542,0.0,0.0,0.0,232.43243243243242,1.3333333333333333
55,2014-12-10,650000.0,3,2.25,2150,21235,1.0,0.0,4,8,1590,560.0,1959,0.0,98166,47.4336,-122.339,2570,18900,0.0,1.0,0.0,302.3255813953488,1.3333333333333333
56,2014-08-28,289000.0,3,1.75,1260,8400,1.0,0.0,3,7,1260,0.0,1954,0.0,98148,47.4366,-122.335,1290,8750,0.0,0.0,0.0,229.36507936507937,1.7142857142857142
57,2014-10-21,505000.0,3,1.75,2519,8690,2.0,0.0,5,8,2519,0.0,1973,0.0,98166,47.4428,-122.344,2500,9500,0.0,0.0,0.0,200.47637951568083,1.7142857142857142
58,2014-12-07,549000.0,3,1.75,1540,1044,3.0,0.0,3,8,1540,0.0,2014,0.0,98115,47.6765,-122.32,1580,3090,0.0,0.0,0.0,356.4935064935065,1.7142857142857142
59,2014-06-03,425000.0,3,2.25,1660,6000,1.0,0.0,3,7,1110,550.0,1979,0.0,98122,47.6113,-122.297,1440,4080,0.0,1.0,0.0,256.0240963855422,1.3333333333333333
60,2014-11-20,317625.0,3,2.75,2770,3809,1.5,0.0,5,7,1770,1000.0,1925,0.0,98144,47.5747,-122.304,1440,4000,0.0,1.0,0.0,114.66606498194946,1.0909090909090908
61,2014-09-09,975000.0,4,2.5,2720,11049,2.0,0.0,3,10,2720,0.0,1989,0.0,98004,47.5815,-122.192,2750,11049,0.0,0.0,1.0,358.45588235294116,1.6
62,2014-10-09,287000.0,4,2.5,2240,4648,2.0,0.0,3,7,2240,0.0,2005,0.0,98001,47.3378,-122.257,2221,4557,0.0,0.0,0.0,128.125,1.6
63,2014-08-25,204000.0,3,1.0,1000,12070,1.0,0.0,4,7,1000,0.0,1968,0.0,98042,47.3621,-122.11,1010,12635,0.0,0.0,0.0,204.0,3.0
64,2014-06-12,1330000.0,5,2.25,3200,20158,1.0,0.0,3,8,1600,1600.0,1965,0.0,98004,47.6303,-122.215,3390,20158,0.0,1.0,1.0,415.625,2.2222222222222223
65,2015-01-05,325000.0,3,2.0,1260,5612,1.0,0.0,4,7,1260,0.0,1972,0.0,98034,47.7362,-122.179,1640,4745,0.0,0.0,0.0,257.93650793650795,1.5
66,2014-06-10,571000.0,4,2.0,2750,7807,1.5,0.0,5,7,2250,500.0,1916,0.0,98125,47.7168,-122.287,1510,7807,0.0,1.0,0.0,207.63636363636363,2.0
67,2014-07-10,360000.0,4,2.5,2380,5000,2.0,0.0,3,8,2380,0.0,2005,0.0,98038,47.3608,-122.036,2420,5000,0.0,0.0,0.0,151.26050420168067,1.6
68,2014-10-13,380000.0,4,1.75,1760,7300,1.0,0.0,3,7,880,880.0,1956,0.0,98008,47.6034,-122.125,1680,7500,0.0,1.0,0.0,215.9090909090909,2.2857142857142856
69,2015-04-20,480000.0,3,1.0,1040,5060,1.0,0.0,3,7,1040,0.0,1941,0.0,98116,47.5636,-122.394,890,5060,0.0,0.0,0.0,461.53846153846155,3.0
70,2014-06-09,410000.0,3,1.0,1410,5060,1.0,0.0,4,7,910,500.0,1956,0.0,98133,47.7073,-122.34,1130,5693,0.0,1.0,0.0,290.78014184397165,3.0
71,2014-12-02,390000.0,3,2.5,2350,5100,2.0,0.0,3,8,2350,0.0,2003,0.0,98038,47.3512,-122.008,2350,5363,0.0,0.0,0.0,165.95744680851064,1.2
72,2014-12-22,360000.0,4,2.5,1900,5889,2.0,0.0,3,7,1900,0.0,1992,0.0,98038,47.349,-122.031,1870,6405,0.0,0.0,0.0,189.47368421052633,1.6
73,2014-10-28,355000.0,2,1.0,2020,6720,1.0,0.0,3,7,1010,1010.0,1948,0.0,98118,47.5474,-122.291,1720,6720,0.0,1.0,0.0,175.74257425742573,2.0
74,2015-01-28,356000.0,3,1.5,1680,8712,1.0,0.0,3,8,1680,0.0,1964,0.0,98059,47.4811,-122.149,1850,8797,0.0,0.0,0.0,211.9047619047619,2.0
75,2014-06-02,315000.0,3,1.0,960,6634,1.0,0.0,3,6,960,0.0,1952,0.0,98125,47.7264,-122.31,1570,7203,0.0,0.0,0.0,328.125,3.0
76,2014-11-14,940000.0,3,1.5,2140,3600,2.0,0.0,3,9,1900,240.0,1925,0.0,98119,47.6337,-122.365,2020,4800,0.0,1.0,0.0,439.25233644859816,2.0
77,2014-11-03,305000.0,5,2.25,2660,8400,1.5,0.0,5,7,2660,0.0,1961,0.0,98092,47.2909,-122.189,1590,8165,0.0,0.0,0.0,114.66165413533835,2.2222222222222223
78,2014-06-18,461000.0,3,3.25,2770,6278,2.0,0.0,3,9,1980,790.0,2006,0.0,98056,47.5228,-122.199,1900,7349,0.0,1.0,0.0,166.4259927797834,0.9230769230769231
79,2014-05-19,215000.0,2,2.25,1610,2040,2.0,0.0,4,7,1610,0.0,1979,0.0,98056,47.518,-122.194,1950,2025,0.0,0.0,0.0,133.54037267080744,0.8888888888888888
80,2014-09-04,335000.0,2,1.75,1030,1066,2.0,0.0,3,7,765,265.0,2006,0.0,98136,47.5394,-122.387,1030,1106,0.0,1.0,0.0,325.24271844660194,1.1428571428571428
81,2014-05-22,243500.0,4,2.5,1980,7403,2.0,0.0,3,7,1980,0.0,1988,0.0,98023,47.2897,-122.372,1980,7510,0.0,0.0,0.0,122.97979797979798,1.6
82,2015-03-11,1100000.0,5,2.75,3520,6353,2.0,0.0,4,10,3520,0.0,2001,0.0,98199,47.6506,-122.391,2520,6250,0.0,0.0,0.0,312.5,1.8181818181818181
83,2015-02-26,153000.0,3,1.0,1200,10500,1.0,0.0,3,7,1200,0.0,1962,0.0,98023,47.322,-122.351,1350,10500,0.0,0.0,0.0,127.5,3.0
84,2014-07-25,430000.0,3,1.5,1580,5000,1.0,0.0,3,8,1290,290.0,1939,0.0,98117,47.687,-122.386,1570,4500,0.0,1.0,0.0,272.1518987341772,2.0
85,2014-12-23,700000.0,3,1.5,1580,5000,1.0,0.0,3,8,1290,290.0,1939,0.0,98117,47.687,-122.386,1570,4500,0.0,1.0,0.0,443.0379746835443,2.0
86,2014-09-08,905000.0,4,2.5,3300,10250,1.0,0.0,3,7,2390,910.0,1946,1991.0,98040,47.5873,-122.249,1950,6045,1.0,1.0,1.0,274.24242424242425,1.6
87,2015-03-30,247500.0,3,1.75,1960,15681,1.0,0.0,3,7,1960,0.0,1967,0.0,98032,47.3576,-122.277,1750,15616,0.0,0.0,0.0,126.27551020408163,1.7142857142857142
88,2014-09-12,199000.0,4,1.5,1160,6400,1.0,0.0,4,7,1160,0.0,1975,0.0,98023,47.3036,-122.378,1160,6400,0.0,0.0,0.0,171.55172413793105,2.6666666666666665
89,2014-06-11,850830.0,3,2.5,2070,13241,1.5,0.0,5,9,1270,800.0,1910,0.0,98102,47.6415,-122.315,2200,4500,0.0,1.0,0.0,411.0289855072464,1.2
90,2014-10-27,555000.0,3,2.0,1980,3478,1.5,0.0,4,7,1440,540.0,1929,0.0,98117,47.6775,-122.372,1610,3478,0.0,1.0,0.0,280.3030303030303,1.5
91,2014-10-07,1090000.0,3,2.5,2920,8113,2.0,0.0,3,8,2920,0.0,1950,2010.0,98004,47.5814,-122.196,2370,8113,1.0,0.0,1.0,373.28767123287673,1.2
92,2015-04-02,375000.0,3,2.5,2340,10005,1.0,0.0,4,8,1460,880.0,1978,0.0,98058,47.4431,-122.133,2250,8162,0.0,1.0,0.0,160.25641025641025,1.2
93,2014-05-23,460000.0,3,1.0,1670,4005,1.5,0.0,4,7,1170,500.0,1939,0.0,98117,47.6878,-122.38,1240,4005,0.0,1.0,0.0,275.4491017964072,3.0
94,2014-07-23,188500.0,2,1.75,1240,2493,1.0,0.0,4,8,1240,0.0,1985,0.0,98198,47.3813,-122.322,1270,4966,0.0,0.0,0.0,152.01612903225808,1.1428571428571428
95,2015-03-05,680000.0,4,2.5,3140,28037,2.0,0.0,4,10,3140,0.0,1991,0.0,98077,47.7304,-122.082,2990,35001,0.0,0.0,0.0,216.56050955414014,1.6
96,2014-08-27,470000.0,5,1.75,2030,12342,2.0,0.0,4,7,2030,0.0,1942,0.0,98052,47.6417,-122.109,2500,9433,0.0,0.0,0.0,231.5270935960591,2.857142857142857
97,2014-07-25,597750.0,4,2.5,2310,9624,2.0,0.0,3,8,2310,0.0,1984,0.0,98027,47.5386,-122.053,1940,9636,0.0,0.0,0.0,258.76623376623377,1.6
98,2015-03-04,570000.0,3,1.75,1260,3328,1.0,0.0,5,6,700,560.0,1905,0.0,98103,47.6823,-122.349,1380,3536,0.0,1.0,0.0,452.3809523809524,1.7142857142857142
99,2014-09-16,272500.0,3,1.75,1540,12600,1.0,0.0,4,7,1160,0.0,1980,0.0,98038,47.3624,-122.031,1540,11656,0.0,0.0,0.0,176.94805194805195,1.7142857142857142
100,2014-11-24,329950.0,3,1.75,2080,5969,1.0,0.0,3,7,1080,1000.0,1971,0.0,98108,47.5474,-122.295,2090,5500,0.0,1.0,0.0,158.62980769230768,1.7142857142857142
101,2014-10-28,480000.0,4,2.5,3230,16171,2.0,0.0,3,9,2520,710.0,2001,0.0,98001,47.3183,-122.253,2640,8517,0.0,1.0,0.0,148.60681114551085,1.6
102,2014-06-26,518500.0,3,3.5,1590,1102,3.0,0.0,3,8,1590,0.0,2010,0.0,98103,47.6824,-122.347,1620,3166,0.0,0.0,0.0,326.1006289308176,0.8571428571428571
103,2014-06-23,205425.0,2,1.0,880,6780,1.0,0.0,4,6,880,0.0,1945,0.0,98178,47.5009,-122.248,1190,6780,0.0,0.0,0.0,233.4375,2.0
104,2015-01-08,171800.0,4,2.0,1570,9600,1.0,0.0,3,6,1570,0.0,1950,0.0,98168,47.4965,-122.303,1880,9000,0.0,0.0,0.0,109.4267515923567,2.0
105,2015-05-11,535000.0,4,1.0,1610,2982,1.5,0.0,4,7,1610,0.0,1925,0.0,98144,47.587,-122.294,1610,4040,0.0,0.0,0.0,332.29813664596276,4.0
106,2015-01-02,660000.0,3,2.5,2400,6474,1.0,0.0,3,8,1560,840.0,1964,0.0,98177,47.7728,-122.386,2340,10856,0.0,1.0,0.0,275.0,1.2
107,2014-11-19,391500.0,3,2.0,1450,9132,1.0,0.0,3,7,1450,0.0,1987,0.0,98034,47.7288,-122.226,1580,9104,0.0,0.0,0.0,270.0,1.5
108,2015-04-06,395000.0,2,1.0,770,6000,1.0,0.0,3,6,770,0.0,1953,0.0,98117,47.6999,-122.364,1710,6000,0.0,0.0,0.0,512.987012987013,2.0
109,2014-11-04,445000.0,4,1.75,2100,4400,1.5,0.0,5,7,1720,380.0,1924,0.0,98118,47.5299,-122.266,1850,4400,0.0,1.0,0.0,211.9047619047619,2.2857142857142856
110,2014-06-18,770000.0,3,2.25,2910,10204,2.0,0.0,3,9,2910,0.0,1990,0.0,98052,47.6897,-122.098,2700,13992,0.0,0.0,0.0,264.6048109965636,1.3333333333333333
111,2015-03-02,1450000.0,4,2.75,2750,17789,1.5,0.0,3,8,1980,770.0,1914,1992.0,98004,47.6141,-122.212,3060,11275,1.0,1.0,1.0,527.2727272727273,1.4545454545454546
112,2014-07-17,445000.0,3,2.25,2100,8201,1.0,0.0,3,8,1620,480.0,1967,0.0,98178,47.5091,-122.244,2660,8712,0.0,1.0,0.0,211.9047619047619,1.3333333333333333
113,2014-07-17,260000.0,4,2.25,2160,8811,1.0,0.0,3,8,1360,800.0,1978,0.0,98023,47.3129,-122.39,2090,8400,0.0,1.0,0.0,120.37037037037037,1.7777777777777777
114,2014-06-13,822500.0,5,3.5,2320,4960,2.0,0.0,5,7,1720,600.0,1926,0.0,98103,47.6763,-122.352,1700,4960,0.0,1.0,0.0,354.5258620689655,1.4285714285714286
115,2015-04-06,430000.0,4,2.5,2070,4310,2.0,0.0,3,7,2070,0.0,2004,0.0,98065,47.5319,-121.85,1970,3748,0.0,0.0,0.0,207.72946859903382,1.6
116,2015-01-05,212000.0,3,1.75,1060,7875,1.0,0.0,4,7,1060,0.0,1986,0.0,98092,47.2761,-122.152,1420,7680,0.0,0.0,0.0,200.0,1.7142857142857142
117,2015-04-28,660500.0,4,2.25,2010,9603,1.0,0.0,3,8,1440,570.0,1986,0.0,98027,47.5343,-122.054,2060,9793,0.0,1.0,0.0,328.60696517412936,1.7777777777777777
118,2014-05-12,453246.0,3,2.5,2010,2287,2.0,0.0,3,8,1390,620.0,2014,0.0,98029,47.5517,-121.998,1690,1662,0.0,1.0,0.0,225.4955223880597,1.2
119,2015-01-26,675000.0,4,3.5,2140,2278,3.0,0.0,3,9,2140,0.0,2005,0.0,98107,47.6734,-122.38,1540,2285,0.0,0.0,0.0,315.42056074766356,1.1428571428571428
120,2014-08-13,199000.0,3,1.75,1320,17390,1.0,0.0,4,7,1320,0.0,1956,0.0,98003,47.3257,-122.296,1550,19265,0.0,0.0,0.0,150.75757575757575,1.7142857142857142
121,2014-08-05,220000.0,4,1.75,2020,7840,1.0,0.0,3,7,1010,1010.0,1968,0.0,98003,47.3309,-122.299,1750,8140,0.0,1.0,0.0,108.91089108910892,2.2857142857142856
122,2014-05-29,452000.0,4,2.25,2590,10002,1.0,0.0,4,8,1340,1250.0,1968,0.0,98028,47.7689,-122.266,1550,10436,0.0,1.0,0.0,174.51737451737452,1.7777777777777777
123,2014-07-07,382500.0,2,1.0,1190,4440,1.0,0.0,3,6,1190,0.0,1981,0.0,98125,47.7135,-122.287,1060,5715,0.0,0.0,0.0,321.42857142857144,2.0
124,2014-05-07,519950.0,3,2.25,1170,1249,3.0,0.0,3,8,1170,0.0,2014,0.0,98107,47.6722,-122.381,1350,1310,0.0,0.0,0.0,444.4017094017094,1.3333333333333333
125,2014-06-27,665000.0,2,1.0,1110,3200,1.0,0.0,3,7,1110,0.0,1925,0.0,98119,47.6338,-122.358,1170,3600,0.0,0.0,0.0,599.0990990990991,2.0
126,2014-07-08,527700.0,5,2.5,2820,9375,1.0,0.0,4,8,1550,1270.0,1968,0.0,98006,47.5707,-122.128,2820,9375,0.0,1.0,0.0,187.12765957446808,2.0
127,2015-05-08,205000.0,3,1.0,1610,8579,1.0,0.0,4,7,1010,600.0,1962,0.0,98058,47.4563,-122.171,1610,8579,0.0,1.0,0.0,127.32919254658385,3.0
128,2015-04-15,420000.0,3,1.0,1060,8097,1.0,0.0,4,7,940,120.0,1923,0.0,98133,47.7144,-122.351,1560,7940,0.0,1.0,0.0,396.22641509433964,3.0
129,2015-02-27,500000.0,4,2.25,2030,8517,1.0,0.0,4,8,1380,650.0,1961,0.0,98006,47.5495,-122.174,2230,8824,0.0,1.0,0.0,246.30541871921181,1.7777777777777777
130,2014-06-25,890000.0,4,1.0,2550,4000,2.0,0.0,3,8,2370,180.0,1905,0.0,98109,47.6354,-122.353,2200,4000,0.0,1.0,0.0,349.01960784313724,4.0
131,2014-10-30,258000.0,5,2.0,2260,12500,1.0,0.0,4,8,1130,1130.0,1960,0.0,98032,47.3887,-122.286,1360,18000,0.0,1.0,0.0,114.15929203539822,2.5
132,2014-11-04,511000.0,3,1.0,1430,3455,1.0,0.0,3,7,980,450.0,1947,0.0,98103,47.6873,-122.336,1450,4599,0.0,1.0,0.0,357.34265734265733,3.0
133,2014-08-20,532170.0,3,2.0,1360,3090,2.0,0.0,3,8,1360,0.0,1990,0.0,98103,47.6838,-122.353,1500,3090,0.0,0.0,0.0,391.3014705882353,1.5
134,2015-04-09,560000.0,3,1.0,1110,5000,1.5,0.0,3,7,1110,0.0,1947,0.0,98107,47.655,-122.359,1420,5000,0.0,0.0,0.0,504.5045045045045,3.0
135,2015-03-31,282950.0,3,1.0,1250,8200,1.0,0.0,4,7,1250,0.0,1954,0.0,98003,47.3255,-122.304,1680,8633,0.0,0.0,0.0,226.36,3.0
136,2014-05-16,350000.0,1,1.0,700,5100,1.0,0.0,3,7,700,0.0,1942,0.0,98115,47.679,-122.3,1010,5100,0.0,0.0,0.0,500.0,1.0
137,2014-07-28,215000.0,3,1.0,1180,7669,1.0,0.0,4,7,1180,0.0,1967,0.0,98058,47.4479,-122.176,1190,7669,0.0,0.0,0.0,182.20338983050848,3.0
138,2014-11-20,650000.0,5,3.5,3960,25245,2.0,0.0,3,9,2500,1460.0,1996,0.0,98056,47.525,-122.172,2640,13675,0.0,1.0,0.0,164.14141414141415,1.4285714285714286
139,2014-08-07,320000.0,4,2.75,2640,7500,1.0,0.0,3,8,1620,1020.0,1967,0.0,98023,47.3135,-122.369,1980,7875,0.0,1.0,0.0,121.21212121212122,1.4545454545454546
140,2014-11-13,247000.0,3,2.0,1270,7198,1.5,0.0,3,7,1270,0.0,1916,2013.0,98022,47.2086,-121.996,1160,7198,1.0,0.0,0.0,194.48818897637796,1.5
141,2014-10-03,320000.0,4,1.75,1760,11180,1.0,0.0,4,8,1760,0.0,1968,0.0,98059,47.4715,-122.118,1730,11180,0.0,0.0,0.0,181.8181818181818,2.2857142857142856
